"NOMBRES M�S POPULARES DE MUJER, 2020",,,,,,"NOMBRES M�S POPULARES DE HOMBRE, 2020",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
272,MARIA INES,MUJER,238,,,272,MATEO ALEJANDRO,HOMBRE,333
273,SOFIA YAMILETH,MUJER,238,,,273,LEONARDO DANIEL,HOMBRE,331
274,KARIME,MUJER,237,,,274,GAEL ALEJANDRO,HOMBRE,329
275,ALEXA VALENTINA,MUJER,235,,,275,JUAN DAVID,HOMBRE,326
276,MARIELA,MUJER,235,,,276,CARLOS MATEO,HOMBRE,325
277,LUNA,MUJER,234,,,277,CARLOS SANTIAGO,HOMBRE,325
278,MARTHA,MUJER,231,,,278,ANGEL ANTONIO,HOMBRE,324
279,SUSANA,MUJER,231,,,279,ELISEO,HOMBRE,324
280,MARLEN,MUJER,230,,,280,JESUS GABRIEL,HOMBRE,320
281,YAMILETH GUADALUPE,MUJER,230,,,281,DYLAN SANTIAGO,HOMBRE,319
282,ANA,MUJER,228,,,282,DAVID ALEJANDRO,HOMBRE,317
283,PAULETTE,MUJER,228,,,283,CARLOS MANUEL,HOMBRE,315
284,KENDRA,MUJER,227,,,284,ERIK,HOMBRE,314
285,AMAIRANY,MUJER,226,,,285,OCTAVIO,HOMBRE,314
286,MARINA,MUJER,225,,,286,ROMAN,HOMBRE,311
287,EMMA VALENTINA,MUJER,224,,,287,JOSE PABLO,HOMBRE,308
288,ITZEL GUADALUPE,MUJER,222,,,288,ETHAN,HOMBRE,304
289,LEAH,MUJER,221,,,289,JOSE EMILIO,HOMBRE,303
290,XIOMARA,MUJER,221,,,290,JOSE EMMANUEL,HOMBRE,302
291,INES,MUJER,218,,,291,DANIEL ALEXANDER,HOMBRE,300
292,AMAIRANI,MUJER,216,,,292,CARLOS ANTONIO,HOMBRE,299
293,PATRICIA,MUJER,216,,,293,ELIEL,HOMBRE,299
294,MARITZA,MUJER,215,,,294,VICENTE,HOMBRE,299
295,SARAH,MUJER,215,,,295,LUIS GERARDO,HOMBRE,295
296,EVA,MUJER,214,,,296,ORLANDO,HOMBRE,294
297,LIA AITANA,MUJER,213,,,297,DIEGO ARMANDO,HOMBRE,292
298,HANNAH,MUJER,212,,,298,MATEO DE JESUS,HOMBRE,287
299,JACQUELINE,MUJER,212,,,299,MATHIAS,HOMBRE,287
300,YARITZA,MUJER,210,,,300,JOHAN,HOMBRE,286
301,ALINA,MUJER,209,,,301,JOSE ADRIAN,HOMBRE,285
302,MARCELA,MUJER,209,,,302,JOSE LEONARDO,HOMBRE,285
303,FERNANDA GUADALUPE,MUJER,208,,,303,MAURO,HOMBRE,284
304,FERNANDA SOFIA,MUJER,208,,,304,SANTIAGO GAEL,HOMBRE,284
305,MAGALI,MUJER,208,,,305,ANGEL ALEXANDER,HOMBRE,283
306,LAURA,MUJER,207,,,306,ARIEL,HOMBRE,282
307,ANDREA SOFIA,MUJER,206,,,307,IGNACIO,HOMBRE,282
308,ANTONIA,MUJER,206,,,308,MARIO ALBERTO,HOMBRE,282
309,LETICIA,MUJER,206,,,309,EVAN,HOMBRE,281
310,PAMELA,MUJER,206,,,310,LIAM ALEJANDRO,HOMBRE,280
311,AYLIN GUADALUPE,MUJER,205,,,311,ALAN MATEO,HOMBRE,276
312,LUNA SOFIA,MUJER,205,,,312,DARIEL,HOMBRE,276
313,MELINA,MUJER,205,,,313,JOSE ALEXANDER,HOMBRE,275
314,YOLANDA,MUJER,205,,,314,JUAN LUIS,HOMBRE,275
315,DAFNE,MUJER,204,,,315,DYLAN ALEJANDRO,HOMBRE,274
316,CELESTE,MUJER,203,,,316,ANGEL SEBASTIAN,HOMBRE,273
317,DAYLIN,MUJER,203,,,317,YAIR,HOMBRE,273
318,LORENA,MUJER,203,,,318,ANDER,HOMBRE,270
319,MARIA TERESA,MUJER,203,,,319,JOSE GABRIEL,HOMBRE,270
320,CARMEN,MUJER,201,,,320,WILLIAM,HOMBRE,270
321,JUDITH,MUJER,201,,,321,CARLOS DAVID,HOMBRE,268
322,NATALIA GUADALUPE,MUJER,201,,,322,RIGOBERTO,HOMBRE,267
323,CAMILA YAMILETH,MUJER,200,,,323,ANGEL LEONARDO,HOMBRE,265
324,CATALEYA,MUJER,198,,,324,ERICK DANIEL,HOMBRE,265
325,GALILEA,MUJER,198,,,325,RODOLFO,HOMBRE,264
326,MARIA DEL ROSARIO,MUJER,198,,,326,AXEL URIEL,HOMBRE,263
327,MAITE,MUJER,197,,,327,LIAM DANIEL,HOMBRE,263
328,MARIA RENATA,MUJER,197,,,328,LUIS GAEL,HOMBRE,263
329,NICOL,MUJER,197,,,329,LUIS TADEO,HOMBRE,263
330,RENATA VALENTINA,MUJER,197,,,330,ANGEL EMMANUEL,HOMBRE,260
331,ROSALINDA,MUJER,197,,,331,IKER TADEO,HOMBRE,260
332,DAMARIS,MUJER,196,,,332,JULIO,HOMBRE,256
333,LUISA,MUJER,196,,,333,IAN EDUARDO,HOMBRE,255
334,AMAIA,MUJER,195,,,334,LIAM TADEO,HOMBRE,255
335,KARLA GUADALUPE,MUJER,195,,,335,TOMAS,HOMBRE,255
336,NANCY,MUJER,195,,,336,JORGE ALBERTO,HOMBRE,252
337,ARELI,MUJER,194,,,337,JUAN FRANCISCO,HOMBRE,252
338,EVELYN GUADALUPE,MUJER,194,,,338,ANGEL IVAN,HOMBRE,250
339,ALEXA YAMILETH,MUJER,193,,,339,MATTEO,HOMBRE,250
